ID,age,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Total_spend,Campaign_Acceptance_Score,TotalPurchase 
1826,44,Graduation,Divorced,84835,0,0,16/06/2014 00:00,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,Spain,1190,0,16
1,53,Graduation,Single,57091,0,0,15/06/2014 00:00,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,Canada,577,1,23
10476,56,Graduation,Married,67267,0,1,13/05/2014 00:00,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,USA,251,0,13
1386,47,Graduation,Together,32474,1,1,11/05/2014 00:00,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,Australia,11,0,11
5371,25,Graduation,Single,21474,1,0,08/04/2014 00:00,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,Spain,91,1,15
7348,56,PhD,Single,71691,0,0,17/03/2014 00:00,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,Spain,1192,0,19
4073,60,2n Cycle,Married,63564,0,0,29/01/2014 00:00,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,Germany,1215,1,34
1991,47,Graduation,Together,44931,0,1,18/01/2014 00:00,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,Spain,96,0,12
4047,60,PhD,Married,65324,0,1,11/01/2014 00:00,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,USA,544,0,24
9477,60,PhD,Married,65324,0,1,11/01/2014 00:00,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,India,544,0,24
2079,67,2n Cycle,Married,81044,0,0,27/12/2013 00:00,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,USA,1208,0,23
5642,35,Master,Together,62499,1,0,09/12/2013 00:00,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,Spain,222,0,16
10530,55,PhD,Widow,67786,0,0,07/12/2013 00:00,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,India,1156,0,17
2964,33,Graduation,Married,26872,0,0,16/10/2013 00:00,0,3,10,8,3,16,32,1,1,1,2,6,0,0,0,0,0,0,0,Canada,72,0,11
10311,45,Graduation,Married,4428,0,1,05/10/2013 00:00,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,Spain,359,0,26
837,37,Graduation,Married,54809,1,1,11/09/2013 00:00,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,Spain,174,0,16
10521,37,Graduation,Married,54809,1,1,11/09/2013 00:00,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,Spain,174,0,16
10175,56,PhD,Divorced,32173,0,1,01/08/2013 00:00,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,Spain,22,0,9
1473,54,2n Cycle,Single,47823,0,1,23/07/2013 00:00,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,Canada,72,0,15
2795,56,Master,Single,30523,2,1,01/07/2013 00:00,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,Canada,13,0,11
2285,60,Master,Together,36634,0,1,28/05/2013 00:00,0,213,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,Saudi Arabia,335,0,22
115,48,Master,Single,43456,0,1,26/03/2013 00:00,0,275,11,68,25,7,7,3,5,1,8,5,0,0,0,0,0,0,0,India,393,0,22
10470,35,Master,Married,40662,1,0,15/03/2013 00:00,0,40,2,23,0,4,23,2,2,1,3,4,0,0,0,0,0,0,0,Germany,92,0,12
4065,38,PhD,Married,49544,1,0,12/02/2013 00:00,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,Spain,404,0,23
10968,45,Graduation,Single,57731,0,1,23/11/2012 00:00,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,India,704,0,32
5985,49,Master,Single,33168,0,1,13/10/2012 00:00,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,Spain,122,0,17
5430,58,Graduation,Together,54450,1,1,14/09/2012 00:00,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain,684,0,39
8432,58,Graduation,Together,54450,1,1,14/09/2012 00:00,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,Spain,684,0,39
453,58,PhD,Widow,35340,1,1,29/06/2014 00:00,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,Spain,45,0,12
9687,39,Graduation,Single,73170,0,0,31/05/2014 00:00,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,Canada,726,0,18
8890,43,PhD,Divorced,65808,1,1,30/05/2014 00:00,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,Spain,272,0,20
